first,last,university,country
Evgenia F.,Adamopoulou, ICCS, NTUA, Athens, Greece
Tomasz,Andrysiak, UTP University of Science and Technology, Poland
Łukasz,Apiecionek, Kazimierz Wielki University, Bydgoszcz, Poland
Stan,Assier, QWANT, France
Robert,Burduk, Wroclaw University of Science and Technology, Poland
Sonia,Collada, Expert System France
Konstantinos,Demestichas (SocialTruth project coordinator), ICCS, NTUA, Athens, Greece
Agata,Gielczyk, Evgenia F. Adamopoulou, ICCS, NTUA, Athens, Greece
Manuel,Grana, University of the Basque Country, Spain
Manik,Gupta, LSBU, London, UK
Álvaro,Herrero, University of Burgos, Spain
Dagmara,Jaroszewska-Choras, Kazimierz Wielki University, Bydgoszcz, Poland
George,Koutalieris, ICCS, NTUA, Athens, Greece
Rafal,Kozik, UTP University of Science and Technology, Poland
Pawel,Ksieniewicz, Wroclaw University of Science and Technology, Poland
Iulia,Lazar, Infocons, Romania
Wojciech,Mazurczyk, Warsaw University of Technology, Poland
Giulia,Venturi, Z&P, Italy
Michal,Wozniak, Wroclaw University of Science and Technology, Poland
